date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:41	182/182	---M-Z	200	added ('OK')	text/plain	date:Mon,%2029%20Jun%202026%2018:47:41%20GMT	https://grupoblconsultores.com/robots.txt		(from )
13:47:41	151453/151453	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2018:47:41%20GMT	https://grupoblconsultores.com/	E:/descargas/fotos%20para%20pagina%20de%20bel/pagina%20web%20belen/pegina%20web/grupoblconsultores.com/index.html	(from )
13:47:42	35473/35473	---M--	200	added ('OK')	image/jpeg	etag:%228a91-68e299a2-5a373389c45b2494;;;%22	https://grupoblconsultores.com/wp-content/uploads/2025/10/WhatsApp-Image-2025-08-08-at-17.51.06-1.jpeg	E:/descargas/fotos%20para%20pagina%20de%20bel/pagina%20web%20belen/pegina%20web/grupoblconsultores.com/wp-content/uploads/2025/10/WhatsApp-Image-2025-08-08-at-17.51.06-1.jpg	(from https://grupoblconsultores.com/)
13:47:43	2189/2189	---M-Z	200	added ('OK')	application/json	date:Mon,%2029%20Jun%202026%2018:47:44%20GMT	https://grupoblconsultores.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgrupoblconsultores.com%2F	E:/descargas/fotos%20para%20pagina%20de%20bel/pagina%20web%20belen/pegina%20web/grupoblconsultores.com/wp-json/oembed/1.0/embedd04b.json	(from https://grupoblconsultores.com/)
13:47:44	2342/2342	---M-Z	200	added ('OK')	text/xml	date:Mon,%2029%20Jun%202026%2018:47:44%20GMT	https://grupoblconsultores.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgrupoblconsultores.com%2F&format=xml	E:/descargas/fotos%20para%20pagina%20de%20bel/pagina%20web%20belen/pegina%20web/grupoblconsultores.com/wp-json/oembed/1.0/embeda1c7	(from https://grupoblconsultores.com/)
13:47:44	25671/25671	---M-Z	200	added ('OK')	text/css	etag:%226447-6a29e09d-ad4915da98013bb6;gz%22	https://grupoblconsultores.com/wp-content/uploads/blocksy/css/global.css?ver=29373	E:/descargas/fotos%20para%20pagina%20de%20bel/pagina%20web%20belen/pegina%20web/grupoblconsultores.com/wp-content/uploads/blocksy/css/global776d.css	(from https://grupoblconsultores.com/)
13:47:45	92512/92512	---M-Z	200	added ('OK')	text/css	etag:%2216960-69cabf45-dcfd1f1275eec003;gz%22	https://grupoblconsultores.com/wp-content/plugins/stackable-ultimate-gutenberg-blocks/dist/frontend_blocks.css?ver=3.19.7	E:/descargas/fotos%20para%20pagina%20de%20bel/pagina%20web%20belen/pegina%20web/grupoblconsultores.com/wp-content/plugins/stackable-ultimate-gutenberg-blocks/dist/frontend_blocks7be3.css	(from https://grupoblconsultores.com/)
13:47:46	119358/119358	---M-Z	200	added ('OK')	text/css	etag:%221d23e-6983c003-9322b1c299d2f42;gz%22	https://grupoblconsultores.com/wp-includes/css/dist/block-library/style.min.css?ver=f3e6c9235433b034548eab350cc9f4a8	E:/descargas/fotos%20para%20pagina%20de%20bel/pagina%20web%20belen/pegina%20web/grupoblconsultores.com/wp-includes/css/dist/block-library/style.min8d68.css	(from https://grupoblconsultores.com/)
13:47:46	685/685	---M-Z	200	added ('OK')	application/rss+xml	etag:%22229e457aef156eacb03980d5a29d6038%22	https://grupoblconsultores.com/comments/feed/	E:/descargas/fotos%20para%20pagina%20de%20bel/pagina%20web%20belen/pegina%20web/grupoblconsultores.com/comments/feed/index.html	(from https://grupoblconsultores.com/)
13:47:46	35398/35398	---MCZ	200	added ('OK')	application/rss+xml	etag:%22229e457aef156eacb03980d5a29d6038%22	https://grupoblconsultores.com/feed/	E:/descargas/fotos%20para%20pagina%20de%20bel/pagina%20web%20belen/pegina%20web/grupoblconsultores.com/feed/index.html	(from https://grupoblconsultores.com/)
13:47:46	148/148	---M--	200	added ('OK')	text/css	etag:%2294-69957d6b-f46d20f776ca27cc;;;%22	https://grupoblconsultores.com/wp-content/plugins/omnisend/styles/site-styles.css?1782758861&ver=1.7.9	E:/descargas/fotos%20para%20pagina%20de%20bel/pagina%20web%20belen/pegina%20web/grupoblconsultores.com/wp-content/plugins/omnisend/styles/site-styles073f.css	(from https://grupoblconsultores.com/)
13:47:47	5362/5362	---M-Z	200	added ('OK')	text/css	etag:%2214f2-6a176ba9-e3620fe666af5aca;gz%22	https://grupoblconsultores.com/wp-content/plugins/simply-schedule-appointments/assets/css/upcoming-appointments.css?ver=1.6.11.9	E:/descargas/fotos%20para%20pagina%20de%20bel/pagina%20web%20belen/pegina%20web/grupoblconsultores.com/wp-content/plugins/simply-schedule-appointments/assets/css/upcoming-appointmentsc2a4.css	(from https://grupoblconsultores.com/)
13:47:48	321/321	---M-Z	200	added ('OK')	text/css	etag:%22141-6a176ba9-59c02bcb40b8650a;gz%22	https://grupoblconsultores.com/wp-content/plugins/simply-schedule-appointments/assets/css/ssa-styles.css?ver=1.6.11.9	E:/descargas/fotos%20para%20pagina%20de%20bel/pagina%20web%20belen/pegina%20web/grupoblconsultores.com/wp-content/plugins/simply-schedule-appointments/assets/css/ssa-stylesc2a4.css	(from https://grupoblconsultores.com/)
13:47:49	59929/59929	---M-Z	200	added ('OK')	text/css	etag:%22ea19-6a20a668-d28da0428d02c590;gz%22	https://grupoblconsultores.com/wp-content/plugins/wpforms-lite/assets/css/frontend/modern/wpforms-base.min.css?ver=1.10.1.1	E:/descargas/fotos%20para%20pagina%20de%20bel/pagina%20web%20belen/pegina%20web/grupoblconsultores.com/wp-content/plugins/wpforms-lite/assets/css/frontend/modern/wpforms-base.min76a4.css	(from https://grupoblconsultores.com/)
